"account_number","dealer_name","street_address_1","street_address_2","postal_code","city","telephone_1","state_province","country","email","website"
"000400","PILORGET SPORTS CYCLISTES - VE","99 RUE D'ALSACE","ZAC DES PROVINCES","45160","OLIVET","02.38.63.71.83","","France","",""
"101720","CYCLES 47","MRS. MAUREY ET GARRIGOU","38, AVENUE GOUDOUNECHE","47300","VILLENEUVE S/LOT","05.53.70.82.90","","France","",""
"100603","R.J.C. SARL","CULTURE VELO AGEN","2 ZAC DE GRESAILLE","47550","BOE","05.53.48.08.18","","France","",""
"100857","PLANETE 2 ROUES SARL","5 AVENUE DU PONT ROUPT","","48000","MENDE","04.66.49.17.00","","France","",""
"001503","CHAUVIERE CYCLES VELOLAND CHOL","5 RUE CHARLES DE MONTALEM","","49300","CHOLET","02.41.62.30.35","","France","",""
"101023","CENT POUR CENT VELO","CYCLES CREZE","22 BIS RUE DAVID D'ANGERS","49500","SEGRE","02.41.26.02.14","","France","",""
"101844","HEMISPHERE CYCLES EURL","ZAC DU PRE BARREAU","","49630","MAZE","06.21.11.01.98","","France","",""
"100610","DUGOUCHET SARL","ZONE D'ACTIVITE","LES CRUTELLES","50480","SAINTE MERE","02.33.41.42.56","","France","",""
"000332","ROYER REMI VELOLAND EPERNAY","10 PLACE HUGUES PLOMB","","51200","EPERNAY","03.26.55.29.61","","France","",""
"101822","BIKE CONNECTION RG SPORTS","46 RUE SARAH BERNARDHT","","51430","TINQUEUX","03.26.08.38.06","","France","",""
"101125","CYCLES SARL ATTITUDE","92 AVENUE DE PARIS","","53940","ST BERTHEVIN","02.43.98.76.93","","France","",""
"101310","PROBIKE 39 23 SARL 39 23","4 RUE D'ALBERTVILLE","ZI DU REVEILLEUX","54500","VANDOEUVRE","03.83.56.66.80","","France","",""
"101626","SPORT BIKE","AVENUE DE LA LIBERATION","","55000","FAINS VEEL","03.29.76.23.14","","France","",""
"101410","PRO-SHOP-BIKE","17 RUE PAUL IHUEL","","56240","PLOUAY","02.97.11.15.98","","France","",""
"101673","BIKE TOUL SARL","CYCLEXPERTS VANNES","2 RUE DE LORRAINE","56860","SENE","02.97.01.00.74","","France","",""
"000274","PIERRON","1 ROUTE DE METZ","","57100","THIONVILLE","03.82.82.73.35","","France","",""
"001918","PORCIN JEROME","2 ROUTE DE COSNE","","58220","DONZY","03.86.39.32.41","","France","",""
"101706","CYCLE WYPELIER HUYGENS","2 BIS PLACE DE LA CESSOIE","","59130","LAMBERSART","03 20 40 73 20","","France","",""
"000057","BARELLI CYCLES","VELOLAND CROIX","163 RUE KLEBER","59170","CROIX","03.20.24.44.30","","France","",""
"101051","MW-TEAM MANAGEMENT SARL","CYCLES WAYMEL","31 PLACE DU 11 NOVEMBRE","59230","SAINT AMAND","03.27.48.98.56","","France","",""
"101401","LE DOMAINE DU VELO","CYCLES DESSY","23 ALLEE DE L'AUBEPINE","59470","WORMHOUT","03.28.62.95.48","","France","",""
"101558","CYCLES GERARD RICOUART SARL","146 RUE MONTLUC","","62610","ARDRES","03.21.00.95.37","","France","",""
"101767","AUVER CYCLE NATURE SARL","24 BIS AVENUE MENDES FRAN","","63500","ISSOIRE","04 73 89 54 20","","France","",""
"100188","VELO NEW'S 64","VELOLAND BIDART","RN 10","64210","BIDART","05.59.41.06.33","","France","",""
"101552","TILLOUS CYCLES S A R L","65 BIS RUE MARCEL LOUBENS","","64570","ARETTE","05.59.88.90.61","","France","",""
"101749","DITHURBIDE","47-49 AVENUE DU REGIMENT","","65000","TARBES","05 62 93 20 89","","France","",""
"001170","ARBES H.","10 AVENUE FRANCOIS ABADIE","65100","LOURDES","05.62.94.05.51","","France","",""
"101243","CAP CYCLES SARL","CULTURE VELO PERPIGNAN","CC ROUSSILLON LITTORAL RUE M ALLEGRET","66600","RIVESALTES","04.68.35.66.18","","France","",""
"101507","DVELOS","STRASBOURG VELO","3 RUE EMILE MATHIS","67800","HOENHEIM","03.88.18.70.47","","France","",""
"000238","MANNHEIM","3 B ROUTE DE RODEREN","","68800","VIEUX THANN","03.89.37.32.09","","France","",""
"100151","VERAN CYCLES","112 QUAI PIERRE SCIZE","","69005","LYON","04.78.27.22.41","","France","",""
"000227","LEDUCQ","4 AVENUE CHARLES DE GAULL","","69170","TARARE","04.74.63.09.22","","France","",""
"101726","JCBIKE","BOUTICYCLE","69 CHEMIN DU CORNU ZI DU CORNU","69210","FLEURIEUX SUR L'ARBRESLE","06.03.52.12.63","","France","",""
"101050","G. CYCLES","MR CAPOGNA GREGORY","74 AVENUE EDOUARD MILLAUD","69290","CRAPONNE","04.78.45.96.19","","France","",""
"101697","BOURBON SPORTS","23-25 RUE DU COMMERCE","","71140","BOURBON LANCY","03.85.85.34.13","","France","",""
"101677","MONDOVELO LE MANS NORD","SPORT VELO 72","ZONE DE L'ARDOISE PARC MANCEAU","72000","LE MANS","02 43 51 16 00","","France","",""
"101082","MONDOVELO LE MANS SUD","EDEN VELO SARL","ZAC DES HUNAUDIERES FAMILY VILLAGE","72230","RUAUDIN","02.43.78.50.90","","France","",""
"101526","G D VELOS SARL","CULTURE VELO ALBERTVILLE","271 AVENUE GEORGES POMPIDOU","73200","GILLY SUR ISERE","04.79.32.18.42","","France","",""
"000278","DVELOS","SAVOIE VELO SAS","350 AVENUE DE CHAMBERY","73230","ST ALBAN LEYSSE","04.79.25.46.84","","France","",""
"101024","DVELOS AIX LES BAINS","SAS AIX VELO","CHEMIN DE LA BOISIERE","73420","DRUMETTAZ CLARAFOND","04.79.52.35.41","","France","",""
"000984","VENZIN BRUNO","7 RUE DU DOCTEUR FAVRE","","74100","ANNEMASSE","04.50.37.13.16","","France","",""
"101404","CHABLAIS CYCLES SARL","CULTURE VELO THONON","21 CHEMIN DE RONDE","74200","THONON LES BAINS","04.50.26.12.87","","France","",""
"100658","DVELOS ANNECY","ANNECY SARL","390 ROUTE DES PRES ROLLIE","74330","SILLINGY","04.50.09.50.54","","France","",""
"101506","B2CYCLES SARL","CULTURE VELO ANNECY","11 AVENUE DE PERIAZ","74600","SEYNOD","04.50.10.02.02","","France","",""
"101747","ROUE LIBRE","49 RUE SAINT ELOI","","74700","SALLANCHES","09 83 86 96 67","","France","",""
"000979","CRAN CYCLES","7 AVENUE DE LA REPUBLIQUE","","74960","CRAN GEVRIER","04.50.57.21.73","","France","",""
"000456","CMR PARIS","CYCLES LAURENT","9 BOULEVARD VOLTAIRE","75011","PARIS","01.47.00.27.47","","France","",""
"001722","FRANSCOOP PARIS","47 RUE SERVAN","","75011","PARIS","01.47.00.68.43","","France","",""
"001407","DARNANVILLE BARENTIN","2 ALLEE DE LA COTONIERE","","76570","PAVILLY","02.35.91.02.25","","France","",""
"101892","PASSION VELO","BOUTICYCLE ST GERMAIN EN","2 RUE DU PRIOLET","78100","ST GERMAIN EN LAYE","06.08.96.84.99","","France","",""
"000957","OMNIUM DU CYCLE (78)","MONSIEUR DRAMARD","34 RUE PATENOTRE","78120","RAMBOUILLET","01.34.85.56.15","","France","",""
"100767","UDAC SARL","DISTRI CYCLE PARIS OUEST","31 BOULEVARD CARNOT","78250","HARDRICOURT","01.30.22.47.67","","France","",""
"101438","SUMMUM BIKE","CYCLES CEDRIC JEANROCH","11 RUE DES TILLEULS","78960","VOISINS LE BRETONNEUX","01.30.64.18.48","","France","",""
"101766","AP ROQUES","CULTURE VELO CASTRES","BOULEVARD PIERRE MENDES France","81100","CASTRES","05.63.50.14.14","","France","",""
"000008","FUNWAY CYCLES","LES 4 CHEMINS","RN 98","83130","LA GARDE","04.94.75.97.89","","France","",""
"000754","CAD","Z.I. SAINT MARTIN","829 ROUTE DES LOUBES","83400","HYERES","04.94.65.07.69","","France","",""
"000545","BERAUD","BOUTICYCLE FREJUS","7 ROND POINT DE LA GENDARMERIE","83600","FREJUS-PLAGE","04.94.51.20.20","","France","",""
"101364","PLANETE VELO SARL","2 AVENUE LOCARNO","FORUM DES BENEDICTINS","87000","LIMOGES","05.55.42.66.87","","France","",""
"001580","CYCLES THOMAS SARL","1 ESPACE COMMERCIAL ST MI","RUE EMILE ZOLA","88000","EPINAL","03.29.32.62.72","","France","",""
"101602","CYCLE 90 SARL","CYCLEXPERTS","4 RUE DU GENERAL DE GAULLE","90400","DANJOUTIN","03.84.90.37.26","","France","",""
"101008","PROMOVELO BELLOUIS","ROUTE DE CHATEAUFORT","","91190","GIF SUR YVETTE","01.69.28.62.78","","France","",""
"644","CLEVEDE A.","38 RUE D'ESTIENNE D'ORVES","","91370","VERRIERES LE BUISSON","01.60.11.60.50","","France","",""
"101563","GP CYCLES SARL","BOUTICYCLE","202 ROUTE DE CORBEIL","91700","STE GENEVIEVE DES BOIS","01.60.15.94.04","","France","",""
"101049","LA GAZELLE","EURL CYCLES LEROY ET FILS","47 BOULEVARD JEAN JAURES","92100","BOULOGNE","01.46.05.10.70","","France","",""
"000586","C.R.C. CYCLES VANVES","9 RUE VAUDETARD","","92130","ISSY LES MOULINEAUX","01.45.29.10.42","","France","",""
"000530","DARNOIS CYCLES","CYCLEXPERT","79 BOULEVARD MARECHAL JOFFRE RN 20","92340","BOURG LA REINE","01.49.84.42.82","","France","",""
"100929","CYCLES DU CHATEAU","4 RUE DE LAGNY","","93100","MONTREUIL SOUS BOIS","01.48.51.66.20","","France","",""
"000872","CYCLES TILLY","6 RUE JULES PRINCET","93600","AULNAY SOUS BOIS","01.48.69.62.44","","France","",""
"101863","FYREM","PROCYCLING-IMPORT","171 BOULEVARD D'ALSACE LORRAINE","94170","LE PERREUX SUR MARNE","09.81.98.85.18","","France","",""
"000661","VELO NEWS MERY S/O","7 RUE MARCEL PERRIN","","95540","MERY S/OISE","01.34.48.10.10","","France","",""
